Uniprot_name,SA.KO3P1_S20_L007_R1_001.sam,SA.KO3P2_S13_L006_R1_001.sam,SA.KOSS1_S12_L006_R1_001.sam,SA.KOSS2_S23_L007_R1_001.sam,SA.WT3P1_S19_L007_R1_001.sam,SA.WT3P2_S22_L007_R1_001.sam,SA.WTSS1_S11_L006_R1_001.sam,SA.WTSS2_S21_L007_R1_001.sam
1915,24369,13085,9843,23712,16995,18557,9217,19995
26503,183,133,62,219,134,217,70,150
100506740,16,8,3,17,4,8,7,3
135228,401,355,184,551,163,252,112,152
1303,115,86,49,155,50,77,28,55
1347,1259,578,483,1129,1102,1165,513,1227
55754,680,627,295,909,517,743,310,434
100506804,16,6,6,6,11,12,9,9
27145,4,13,5,27,9,7,7,8
26054,622,429,248,674,431,587,247,408
4646,372,295,151,470,227,303,148,234
3617,0,3,2,3,2,1,1,1
3351,0,0,0,1,0,0,1,0
134728,29,38,12,41,19,31,19,20
55023,595,589,258,784,341,620,220,265
9324,342,306,141,462,226,232,123,187
100288198,35,24,13,39,20,24,3,19
100506851,1,0,0,3,0,0,1,2
167691,54,46,26,84,55,75,36,49
83699,223,168,91,289,218,315,106,231
6785,157,119,75,234,130,175,78,137
7272,604,416,227,688,409,557,219,323
594,238,172,95,269,115,142,81,113
55603,239,162,98,236,209,301,52,122
100506867,23,10,7,25,15,6,6,9
25998,565,399,208,680,393,529,209,308
7162,239,164,92,261,183,287,101,265
90025,79,39,33,75,46,56,29,46
100506880,1,1,1,1,0,0,2,0
23033,376,193,159,336,353,445,216,303
5238,180,101,87,192,230,313,155,253
100506894,17,14,3,26,8,22,5,14
112611,52,32,27,72,107,109,55,111
4199,155,103,59,220,190,294,107,218
167681,24,23,11,45,9,22,7,15
9892,76,78,17,93,77,109,52,92
134701,25,15,2,26,16,22,15,20
51167,104,83,39,118,120,142,63,70
100506908,1,0,1,0,0,0,0,0
112609,27,34,18,50,24,30,18,28
22832,150,70,51,139,73,78,49,41
100506926,0,0,0,0,0,1,0,0
9096,166,120,75,192,161,219,96,160
4907,6,5,2,5,9,18,1,2
57231,209,151,72,290,243,274,94,196
10492,1922,1388,780,2272,1372,1865,765,1141
387066,838,475,312,850,833,889,361,945
26799,3,0,0,1,3,1,0,1
692088,11,3,2,11,5,6,2,1
643962,0,0,0,0,0,0,0,0
3354,0,0,0,0,0,0,0,0
1081,6,3,4,5,4,4,1,5
23036,407,329,182,544,335,498,196,200
375519,95,46,35,93,28,35,11,21
57150,80,77,33,98,50,93,42,65
206412,19,12,3,13,5,5,5,9
63914,14,8,5,11,3,9,4,6
154313,6,0,3,6,6,7,0,4
10559,200,116,66,239,143,226,87,172
57038,268,134,85,266,154,237,77,191
23595,362,181,134,388,313,359,154,261
55122,528,313,207,506,437,591,233,590
55389,103,77,31,141,43,119,39,86
81833,0,0,0,0,0,0,0,0
1268,10,7,5,12,6,14,2,12
8732,271,213,112,383,212,290,115,182
100506947,5,3,1,8,2,2,0,0
10957,199,202,85,336,149,276,71,165
135295,89,57,47,127,56,86,31,82
135293,508,440,208,652,300,561,205,373
2569,1,1,0,0,1,0,1,0
2570,0,0,0,2,2,2,0,2
51465,462,284,187,559,517,632,292,478
58528,247,223,91,338,187,311,93,237
22881,136,86,36,139,84,95,56,92
57226,458,239,183,474,343,460,210,328
23195,2128,1078,968,2044,935,1081,594,846
9994,585,412,231,757,540,750,346,419
84694,0,0,0,0,0,0,0,0
100507024,0,0,0,0,0,0,0,0
60468,104,70,44,154,90,180,62,141
6885,477,285,187,465,353,418,211,341
2045,228,201,107,331,96,115,58,68
643432,0,0,0,0,1,1,0,0
79694,168,172,59,241,72,111,49,60
10690,4,9,1,11,2,2,5,1
23376,268,214,118,328,295,381,181,287
9457,0,0,0,0,0,0,0,0
81491,50,41,21,74,30,57,22,37
29078,226,159,94,260,258,380,115,233
114792,15,11,5,19,11,15,2,11
253714,311,278,123,418,244,363,150,204
100302164,0,0,0,0,0,0,0,0
5454,304,259,134,427,362,472,109,130
26235,151,106,68,168,102,200,74,156
84553,131,70,49,171,153,191,84,189
51805,164,96,76,196,177,216,102,210
25957,1516,924,593,1729,1184,1903,718,1411
100506090,85,46,38,121,48,60,34,55
85015,156,146,55,199,105,198,63,93
892,406,374,157,526,363,513,211,343
59336,78,46,32,80,57,69,36,86
84539,0,0,0,0,0,0,0,0
728012,0,0,0,0,0,0,1,0
6492,17,18,9,15,7,22,8,6
10973,624,404,236,669,621,638,378,498
2898,5,1,3,3,2,2,4,3
57531,169,132,64,193,205,284,107,220
389421,579,492,238,715,412,588,198,338
11149,192,165,77,270,137,242,61,167
154442,17,8,4,9,6,9,4,5
64208,81,56,25,88,194,214,94,204
5550,388,244,153,430,295,377,150,390
100506148,0,0,0,0,0,0,0,0
639,2,1,1,0,2,2,0,1
9474,301,188,110,316,297,386,162,284
100506165,0,0,0,0,0,0,0,0
202,13,11,6,25,6,11,3,7
84816,86,58,35,98,64,86,48,66
55278,254,164,84,261,201,263,86,189
100422737,0,0,0,0,0,0,0,0
553137,0,0,0,0,0,0,0,0
693172,0,0,0,0,0,0,0,0
51250,91,45,44,108,85,85,41,78
57673,194,85,69,175,85,100,61,83
57107,115,92,53,140,81,109,53,99
55084,137,97,57,140,60,79,31,79
256380,0,0,0,0,1,0,0,0
11231,873,652,330,1185,892,1307,516,900
28962,163,126,65,179,136,161,77,116
100287366,0,0,0,0,0,0,0,0
7101,0,0,0,0,1,1,1,0
8724,508,430,178,658,396,599,209,363
246269,50,39,24,63,34,37,24,25
2309,681,497,273,859,313,586,238,471
100506244,18,6,6,12,12,8,2,6
387111,0,0,0,0,0,0,0,1
84071,30,12,11,27,9,13,13,8
100506276,28,13,4,16,8,9,3,3
27244,311,177,134,305,229,272,150,218
285753,59,50,27,113,78,115,32,73
285754,72,40,22,80,35,60,26,33
221262,15,18,5,20,19,30,6,26
100506339,23,4,10,18,9,19,10,17
8763,950,1080,317,1582,803,1303,350,458
285755,18,8,5,13,19,18,9,15
6610,95,57,41,95,63,84,27,65
64780,155,80,55,194,102,134,47,146
9841,256,166,108,242,143,166,95,120
221264,42,27,16,60,59,71,26,51
9896,250,133,93,255,214,237,125,250
2830,0,0,0,0,0,0,0,0
8936,471,345,193,591,466,640,250,519
51362,238,161,92,251,232,255,115,183
728464,4,2,5,8,7,15,8,22
8528,0,0,0,0,0,1,0,1
85413,0,0,0,0,1,0,0,0
23097,174,136,69,273,158,274,125,218
262,1167,842,470,1425,779,1136,413,722
112495,260,115,101,213,331,288,146,239
84154,305,152,102,315,395,533,244,491
442245,40,21,12,43,46,42,20,46
117247,104,88,40,153,77,98,50,55
91749,104,67,40,101,42,65,26,44
5980,408,267,164,432,333,523,243,301
643749,71,31,29,63,89,130,49,111
10758,104,58,34,133,96,131,54,150
2534,626,343,250,661,802,1098,506,1106
100506389,5,4,4,8,10,10,3,10
8838,6,1,0,3,2,4,1,1
51175,195,136,76,194,277,400,183,329
619208,133,64,53,134,157,160,81,151
3910,101,59,50,115,239,233,143,225
100506408,0,0,0,0,0,0,0,0
100506430,0,0,0,0,0,0,0,0
442247,4,0,0,1,0,0,0,1
100287612,0,0,0,0,0,0,0,0
4082,538,664,218,1041,432,695,236,389
285759,0,0,0,0,0,0,0,0
3066,1917,1090,777,2065,1864,2114,1027,1805
222537,0,1,0,4,0,6,1,0
441167,0,0,0,0,0,0,0,0
2444,11,5,4,25,5,11,5,6
728402,193,79,75,169,164,161,82,207
221294,205,171,76,250,189,201,97,115
1300,3,3,5,3,2,2,0,0
23270,347,225,159,409,403,527,259,397
100506496,3,5,4,14,2,7,5,2
7259,1727,1019,803,1864,862,1127,530,985
29940,231,138,94,267,157,214,89,178
100506515,3,5,0,9,9,8,3,3
441168,0,0,0,0,1,0,0,1
100128327,1,0,0,1,1,0,0,0
254228,17,7,8,10,6,11,1,4
221301,0,0,2,0,3,1,0,1
51389,270,183,114,311,412,469,182,394
345895,9,1,2,6,7,7,3,6
221302,184,117,81,212,235,423,119,242
3841,98,54,33,98,62,129,44,67
221303,0,0,0,0,0,0,0,0
222545,0,0,0,0,1,0,0,1
222546,5,3,1,6,3,10,1,4
245806,8,4,4,13,8,16,4,9
6098,1,0,0,0,1,3,1,1
285761,78,59,27,74,82,123,57,90
57120,554,481,216,776,467,741,283,423
116150,498,441,219,659,518,813,315,526
222553,154,133,52,237,127,231,97,202
387119,113,104,34,174,115,148,69,95
23629,8,5,5,8,7,5,2,6
5350,2,1,0,1,0,0,0,0
100507090,153,87,55,177,115,125,64,113
25842,263,149,92,277,253,284,128,183
254394,90,62,43,113,74,84,40,70
79632,202,130,92,248,272,357,159,289
100507115,2,0,0,1,0,1,1,2
4121,232,231,124,315,178,274,134,158
100422951,0,0,0,0,0,0,0,0
221322,75,61,19,98,79,92,30,52
2697,359,308,142,501,179,293,128,210
3298,280,206,104,316,448,612,275,505
57515,1055,848,428,1550,1173,1956,672,1357
5570,23,23,7,41,73,89,35,66
2173,0,0,0,1,0,0,0,0
10924,45,30,15,57,49,60,48,40
134829,6,5,6,13,6,9,8,7
10345,1,0,0,0,1,0,0,0
154215,2,0,0,0,1,3,5,1
7955,11,2,4,9,8,13,9,3
154214,33,20,27,33,24,52,22,31
7164,153,87,49,166,182,227,74,216
51020,705,340,273,639,783,810,389,837
23493,67,35,25,56,98,122,37,92
135112,145,111,60,159,362,538,128,212
135114,163,188,75,319,192,339,108,217
60487,171,117,57,177,234,305,115,261
100507136,6,2,2,3,4,0,0,3
387103,220,112,97,206,232,282,120,293
693173,1,0,0,0,0,0,0,0
84870,0,0,1,3,2,3,1,2
81847,203,136,86,226,317,361,173,317
55862,308,180,125,287,421,390,202,351
387104,101,72,41,117,174,332,122,196
9729,0,1,0,1,0,7,2,2
352999,0,0,0,1,1,1,0,0
387357,0,0,0,0,0,0,0,0
5796,171,126,77,199,196,287,109,258
3908,41,45,22,74,23,20,8,25
93663,94,53,25,101,91,114,35,68
253582,0,0,0,0,0,0,0,0
84456,176,113,72,214,143,213,73,148
100507183,0,0,1,0,0,0,0,0
154075,0,0,0,1,1,2,1,1
114801,5,3,0,9,7,13,7,10
100507203,0,2,1,2,1,0,0,0
2037,1262,754,506,1349,916,1299,608,1183
9465,51,39,18,59,101,101,33,51
383,0,1,0,3,0,0,2,0
9439,533,283,221,479,458,664,321,431
5169,31,24,14,24,24,26,9,14
79541,0,1,0,1,0,2,0,0
643854,3,3,1,7,6,5,2,4
5167,208,170,83,296,224,334,117,242
100131774,0,0,0,0,0,0,0,0
1490,14,8,6,22,8,17,5,12
100507254,0,0,0,0,0,0,0,0
26002,183,154,69,259,274,499,156,470
8417,236,229,97,366,205,323,112,192
134860,0,0,0,0,0,0,0,0
83551,0,0,0,0,0,0,0,0
319100,0,0,0,0,0,1,0,0
9038,0,0,0,0,0,0,0,0
9288,0,0,0,0,0,0,0,0
9287,0,0,0,0,0,0,0,0
134864,0,0,0,0,0,0,0,0
8876,0,0,0,0,0,0,0,0
55350,0,0,0,0,0,0,0,0
8875,1,0,0,0,1,1,0,0
116843,309,197,115,344,341,351,173,239
6206,3224,1758,1262,3138,3002,3884,1600,3831
594837,1,0,1,4,1,4,1,3
594838,6,2,1,5,6,1,4,5
594839,3,5,3,14,11,10,3,4
285735,0,0,0,0,1,0,0,0
2070,206,142,106,279,196,287,124,148
100507308,1,1,0,1,2,1,0,0
154089,0,0,0,0,0,0,0,0
6943,0,1,0,4,3,0,0,3
9519,102,61,49,141,162,209,62,142
154091,145,109,54,219,118,234,59,105
6446,25,14,8,27,22,22,17,32
154092,1,0,0,1,0,0,1,1
64577,11,3,2,11,17,18,4,16
10767,702,444,255,671,818,1202,537,1095
4602,23,20,11,31,32,57,22,45
693126,0,0,0,0,0,0,0,0
54806,155,104,60,164,175,227,131,162
100131814,0,0,0,1,2,2,1,1
27115,6,4,0,10,1,6,2,4
644135,0,0,0,0,3,1,0,0
113115,142,74,49,132,116,172,62,134
9774,1995,1196,877,2046,1805,1782,1029,975
9053,87,89,32,126,140,278,76,213
4217,100,61,35,129,69,94,28,62
100507390,0,0,0,1,0,0,0,0
5191,89,76,35,101,107,97,64,88
340146,13,8,6,15,11,13,7,10
100294720,0,0,0,0,0,0,0,0
53832,0,0,0,0,0,0,0,0
116379,0,0,0,0,0,0,0,0
3459,406,231,135,389,523,643,274,509
167826,0,0,0,0,0,2,0,0
100507406,0,0,0,0,0,0,0,0
100507429,0,0,0,0,0,0,0,0
100130476,0,0,0,0,0,0,0,0
7128,48,22,15,44,126,226,33,72
