Sample Name,Target Name,Ct
KO_3p-ssRNA_13.1_1,ctrl,17.40655899
KO_3p-ssRNA_13.1_1,ctrl,17.56147766
KO_3p-ssRNA_13.1_1,ctrl,17.511549
KO_3p-ssRNA_13.1_1,test,16.03501892
KO_3p-ssRNA_13.1_1,test,16.1668396
KO_3p-ssRNA_13.1_1,test,16.24276543
KO_3p-ssRNA_13.1_2,ctrl,18.39954185
KO_3p-ssRNA_13.1_2,ctrl,18.18279266
KO_3p-ssRNA_13.1_2,ctrl,18.41394615
KO_3p-ssRNA_13.1_2,test,16.72044754
KO_3p-ssRNA_13.1_2,test,16.5582962
KO_3p-ssRNA_13.1_2,test,16.51798439
KO_3p-ssRNA_13.1_3,ctrl,17.68496323
KO_3p-ssRNA_13.1_3,ctrl,17.81394386
KO_3p-ssRNA_13.1_3,ctrl,17.75927925
KO_3p-ssRNA_13.1_3,test,16.18438148
KO_3p-ssRNA_13.1_3,test,16.30760002
KO_3p-ssRNA_13.1_3,test,16.27291298
KO_3p-ssRNA_13.2_1,ctrl,18.00855064
KO_3p-ssRNA_13.2_1,ctrl,18.01193047
KO_3p-ssRNA_13.2_1,ctrl,18.36752319
KO_3p-ssRNA_13.2_1,test,16.40826797
KO_3p-ssRNA_13.2_1,test,16.40510559
KO_3p-ssRNA_13.2_1,test,16.30757713
KO_3p-ssRNA_13.2_2,ctrl,17.87342644
KO_3p-ssRNA_13.2_2,ctrl,17.97877884
KO_3p-ssRNA_13.2_2,ctrl,17.98571777
KO_3p-ssRNA_13.2_2,test,16.89525604
KO_3p-ssRNA_13.2_2,test,17.02254868
KO_3p-ssRNA_13.2_2,test,17.0888443
KO_3p-ssRNA_13.2_3,ctrl,18.02471352
KO_3p-ssRNA_13.2_3,ctrl,17.94157791
KO_3p-ssRNA_13.2_3,ctrl,18.11065102
KO_3p-ssRNA_13.2_3,test,16.85441971
KO_3p-ssRNA_13.2_3,test,16.87507057
KO_3p-ssRNA_13.2_3,test,16.68717575
KO_3p-ssRNA_no.ins_1,ctrl,18.29580879
KO_3p-ssRNA_no.ins_1,ctrl,18.27708054
KO_3p-ssRNA_no.ins_1,ctrl,18.24928856
KO_3p-ssRNA_no.ins_1,test,16.6885128
KO_3p-ssRNA_no.ins_1,test,16.86906052
KO_3p-ssRNA_no.ins_1,test,16.68165779
KO_3p-ssRNA_no.ins_2,ctrl,17.09965515
KO_3p-ssRNA_no.ins_2,ctrl,17.00512886
KO_3p-ssRNA_no.ins_2,ctrl,17.12595558
KO_3p-ssRNA_no.ins_2,test,16.04500389
KO_3p-ssRNA_no.ins_2,test,16.06088638
KO_3p-ssRNA_no.ins_2,test,16.12384605
KO_3p-ssRNA_no.ins_3,ctrl,18.1452713
KO_3p-ssRNA_no.ins_3,ctrl,18.29198837
KO_3p-ssRNA_no.ins_3,ctrl,18.10458946
KO_3p-ssRNA_no.ins_3,test,16.72289848
KO_3p-ssRNA_no.ins_3,test,16.68343353
KO_3p-ssRNA_no.ins_3,test,16.64446068
KO_ssRNA_13.1_1,ctrl,18.76211166
KO_ssRNA_13.1_1,ctrl,18.80666542
KO_ssRNA_13.1_1,ctrl,18.84315109
KO_ssRNA_13.1_1,test,17.12646103
KO_ssRNA_13.1_1,test,17.32449913
KO_ssRNA_13.1_1,test,17.21138573
KO_ssRNA_13.1_2,ctrl,18.07730865
KO_ssRNA_13.1_2,ctrl,18.32551765
KO_ssRNA_13.1_2,ctrl,18.49232101
KO_ssRNA_13.1_2,test,16.88986969
KO_ssRNA_13.1_2,test,16.88607788
KO_ssRNA_13.1_2,test,16.82955933
KO_ssRNA_13.1_3,ctrl,18.09913063
KO_ssRNA_13.1_3,ctrl,18.0356884
KO_ssRNA_13.1_3,ctrl,18.55968285
KO_ssRNA_13.1_3,test,16.58021164
KO_ssRNA_13.1_3,test,16.68656158
KO_ssRNA_13.1_3,test,16.59356499
KO_ssRNA_13.2_1,ctrl,17.85436249
KO_ssRNA_13.2_1,ctrl,17.92416382
KO_ssRNA_13.2_1,ctrl,17.76741028
KO_ssRNA_13.2_1,test,16.43293762
KO_ssRNA_13.2_1,test,16.49117661
KO_ssRNA_13.2_1,test,16.65912056
KO_ssRNA_13.2_2,ctrl,18.00374222
KO_ssRNA_13.2_2,ctrl,17.91289139
KO_ssRNA_13.2_2,ctrl,17.92925262
KO_ssRNA_13.2_2,test,16.41394234
KO_ssRNA_13.2_2,test,16.17908859
KO_ssRNA_13.2_2,test,16.35010529
KO_ssRNA_13.2_3,ctrl,17.92371559
KO_ssRNA_13.2_3,ctrl,18.19882011
KO_ssRNA_13.2_3,ctrl,17.93661118
KO_ssRNA_13.2_3,test,16.70862389
KO_ssRNA_13.2_3,test,16.739254
KO_ssRNA_13.2_3,test,16.79795456
KO_ssRNA_no.ins_1,ctrl,18.30727196
KO_ssRNA_no.ins_1,ctrl,18.41972351
KO_ssRNA_no.ins_1,ctrl,18.68695259
KO_ssRNA_no.ins_1,test,17.09099197
KO_ssRNA_no.ins_1,test,17.18628502
KO_ssRNA_no.ins_1,test,16.97026253
KO_ssRNA_no.ins_2,ctrl,18.1389389
KO_ssRNA_no.ins_2,ctrl,18.07545471
KO_ssRNA_no.ins_2,ctrl,18.09285355
KO_ssRNA_no.ins_2,test,16.7103405
KO_ssRNA_no.ins_2,test,16.72619438
KO_ssRNA_no.ins_2,test,16.84845543
KO_ssRNA_no.ins_3,ctrl,17.23018837
KO_ssRNA_no.ins_3,ctrl,17.29190445
KO_ssRNA_no.ins_3,ctrl,17.38946915
KO_ssRNA_no.ins_3,test,16.1298275
KO_ssRNA_no.ins_3,test,16.09574318
KO_ssRNA_no.ins_3,test,16.15488625
WT_3p-ssRNA_13.1_1,ctrl,17.5626049
WT_3p-ssRNA_13.1_1,ctrl,17.63743401
WT_3p-ssRNA_13.1_1,ctrl,17.73679924
WT_3p-ssRNA_13.1_1,test,16.37331772
WT_3p-ssRNA_13.1_1,test,16.36975479
WT_3p-ssRNA_13.1_1,test,16.53211975
WT_3p-ssRNA_13.1_2,ctrl,18.49741936
WT_3p-ssRNA_13.1_2,ctrl,18.65594482
WT_3p-ssRNA_13.1_2,ctrl,18.56758881
WT_3p-ssRNA_13.1_2,test,17.23317528
WT_3p-ssRNA_13.1_2,test,17.15808296
WT_3p-ssRNA_13.1_2,test,17.25378609
WT_3p-ssRNA_13.1_3,ctrl,17.97838974
WT_3p-ssRNA_13.1_3,ctrl,18.11788559
WT_3p-ssRNA_13.1_3,ctrl,17.94886971
WT_3p-ssRNA_13.1_3,test,16.67617989
WT_3p-ssRNA_13.1_3,test,16.70446014
WT_3p-ssRNA_13.1_3,test,16.74054718
WT_3p-ssRNA_13.2_1,ctrl,17.61688614
WT_3p-ssRNA_13.2_1,ctrl,17.71319199
WT_3p-ssRNA_13.2_1,ctrl,17.77496147
WT_3p-ssRNA_13.2_1,test,16.53661537
WT_3p-ssRNA_13.2_1,test,16.45532417
WT_3p-ssRNA_13.2_1,test,16.58085823
WT_3p-ssRNA_13.2_2,ctrl,24.22912979
WT_3p-ssRNA_13.2_2,ctrl,24.39969444
WT_3p-ssRNA_13.2_2,ctrl,24.29800415
WT_3p-ssRNA_13.2_2,test,22.21054268
WT_3p-ssRNA_13.2_2,test,22.27361107
WT_3p-ssRNA_13.2_2,test,21.93394279
WT_3p-ssRNA_13.2_3,ctrl,18.37722588
WT_3p-ssRNA_13.2_3,ctrl,18.45708847
WT_3p-ssRNA_13.2_3,ctrl,18.7649765
WT_3p-ssRNA_13.2_3,test,16.90690994
WT_3p-ssRNA_13.2_3,test,17.14705086
WT_3p-ssRNA_13.2_3,test,17.32456017
WT_3p-ssRNA_no.ins_1,ctrl,18.62537003
WT_3p-ssRNA_no.ins_1,ctrl,18.57328033
WT_3p-ssRNA_no.ins_1,ctrl,18.65645599
WT_3p-ssRNA_no.ins_1,test,17.35134315
WT_3p-ssRNA_no.ins_1,test,17.34270096
WT_3p-ssRNA_no.ins_1,test,17.34543991
WT_3p-ssRNA_no.ins_2,ctrl,17.83442688
WT_3p-ssRNA_no.ins_2,ctrl,17.96793747
WT_3p-ssRNA_no.ins_2,ctrl,17.70478058
WT_3p-ssRNA_no.ins_2,test,16.93407631
WT_3p-ssRNA_no.ins_2,test,16.9420681
WT_3p-ssRNA_no.ins_2,test,16.96816635
WT_3p-ssRNA_no.ins_3,ctrl,17.8736763
WT_3p-ssRNA_no.ins_3,ctrl,18.2795639
WT_3p-ssRNA_no.ins_3,ctrl,17.94630623
WT_3p-ssRNA_no.ins_3,test,16.71381378
WT_3p-ssRNA_no.ins_3,test,16.74303818
WT_3p-ssRNA_no.ins_3,test,16.73470116
WT_ssRNA_13.1_1,ctrl,17.93325043
WT_ssRNA_13.1_1,ctrl,17.98540878
WT_ssRNA_13.1_1,ctrl,18.03513908
WT_ssRNA_13.1_1,test,16.81918716
WT_ssRNA_13.1_1,test,16.88687706
WT_ssRNA_13.1_1,test,16.88041306
WT_ssRNA_13.1_2,ctrl,17.77451706
WT_ssRNA_13.1_2,ctrl,17.79567337
WT_ssRNA_13.1_2,ctrl,17.95248795
WT_ssRNA_13.1_2,test,16.59996986
WT_ssRNA_13.1_2,test,16.78434944
